,track_x,track_y,dist,bpm_inc,key_x,mode_x,instrumentalness_x,speechiness_x,key_y,mode_y,instrumentalness_y,speechiness_y
453,Hot Since 82 - Veins.mp3,Jamie xx - SeeSaw (Club Version).mp3,0.04316211257954768,0.00816942072113489,9,0,0.726,0.0547,9,0,0.934,0.0438
454,Disclosure - Stimulation.mp3,Kanye West - Father Stretch My Hands Pt. 1.mp3,0.04317748316173648,0.14068689869835874,7,1,0.573,0.158,7,1,0.0,0.0549
455,Skrillex - Midnight Hour.mp3,Beyoncé - Drunk in Love.mp3,0.04319050567146658,0.11154328533553484,0,1,0.000392,0.0685,5,0,0.00104,0.0468
456,What So Not - Goh (AC Slater Remix).mp3,Daft Punk - Aerodynamic.mp3,0.04322156183814732,0.05123772436575491,6,1,0.92,0.062,7,1,0.861,0.0524
457,Zhu - Exhale.mp3,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,0.04322291611498751,0.13765587301587312,8,0,0.0807,0.124,6,0,0.00417,0.21
458,Childish Gambino - This Is America (remix).mp3,Jack U - Mind (Malaa remix).mp3,0.04323692554782358,0.007835428571428651,10,0,0.174,0.0559,6,1,0.0197,0.0538
459,Daft Punk - One More Time (Capital People Remix).mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.04324531551035974,0.04047339682539695,2,1,0.0,0.133,11,0,0.7170000000000001,0.0594
460,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,Denzel Curry - SPEEDBOAT.mp3,0.04325991851753962,0.025211213037718398,6,0,0.00417,0.21,6,1,0.0,0.131
461,Beyoncé - Drunk in Love.mp3,Four Tet - Only Human.mp3,0.04326424717944271,0.10260710714257598,5,0,0.00104,0.0468,10,0,0.138,0.0691
462,Drake - Get It Together.mp3,Corona - Rhythm Of The Night (Blonde Remix).mp3,0.043312082543219686,0.00029164058498825393,5,0,0.391,0.0514,5,0,0.6659999999999999,0.034
463,James Blake  - Limit To Your Love (Club remix).mp3,FISHER - You Little Beauty.mp3,0.043323773636919805,0.007640380952381025,10,0,0.242,0.096,6,0,0.452,0.0924
464,Corona - Rhythm Of The Night (Blonde Remix).mp3,Seven Lions - Strangers.mp3,0.0433560834442925,0.05623974603174613,5,0,0.6659999999999999,0.034,0,0,1.6e-06,0.0394
465,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Rufus Du Sol - Underwater (Adam Port Remix).mp3,0.04337972637058435,0.04262875372830798,9,1,0.0,0.0619,11,1,0.785,0.0525
466,Justice - Genesis.mp3,What So Not - Goh (AC Slater Remix).mp3,0.04340649115328928,0.10374797146640473,9,1,0.366,0.384,6,1,0.92,0.062
467,Dog Blood - TURN OFF THE LIGHTS.mp3,Justin Martin - Don't Go (Dusky Remix).mp3,0.043416663423197215,0.04026098543941768,11,0,0.7170000000000001,0.0594,9,0,0.92,0.0595
468,RL Grime - Pressure (Valentino Khan Remix).mp3,Rufus Du Sol - Underwater (Adam Port Remix).mp3,0.04347339680156954,0.06775352494577003,2,1,0.284,0.174,11,1,0.785,0.0525
469,Beyoncé - Single Ladies (Put a Ring on It).mp3,Getter - Something New.mp3,0.043494489803183496,0.07444704889076502,1,1,0.0,0.29600000000000004,6,0,0.103,0.0941
470,Daft Punk - One More Time (Capital People Remix).mp3,What So Not - Goh (AC Slater Remix).mp3,0.04352200511741641,0.0500000004063493,2,1,0.0,0.133,6,1,0.92,0.062
471,Dog Blood - TURN OFF THE LIGHTS.mp3,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,0.043528588521933184,0.04047339682539695,11,0,0.7170000000000001,0.0594,6,0,0.00417,0.21
472,Chris Lake - I Want You.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.0435511597595563,0.00855197340820346,11,0,0.35100000000000003,0.0712,7,1,0.00134,0.231
