Track x,Track y,Harmonic distance,BPM increase,
Tchami - Prophecy.mp3,"Daft Punk - Harder, Better, Faster, Stronger.mp3",0.020446221,0.012415469,
Chris Lake - I Want You.mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.020477442,0.008031486,
Flume - Insane (Bishu Remix).mp3,Four Tet - Planet.mp3,0.020515614,0.130503197,
RL Grime - Pressure (Valentino Khan Remix).mp3,Travis Scott - goosebumps.m4a,0.020525752,0.032036631,
Disclosure - When A Fire Starts To Burn.mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.020572533,0.016652144,
Four Tet - Baby.mp3,Justice - Genesis.mp3,0.020586655,0.085523899,
Dillon Francis - Get Low.mp3,Dog Blood - BREAK LAW.mp3,0.020667994,0.068898281,
Claptone - Cream.mp3,Bonobo - Bambro Koyo Ganda.mp3,0.020744317,0.038859745,
Daft Punk - One More Time (Capital People Remix).mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.020779346,0.024097524,
Zhu - My Life (Kyle Watson Remix).mp3,Skrillex - Midnight Hour.mp3,0.020785394,0.024061519,
ODESZA - Bloom (Lane 8 Remix).mp3,ODESZA - Say My Name (feat. Zyra).mp3,0.020793449,0.086468257,
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Skrillex - Midnight Hour.mp3,0.020952191,0.023821206,
Disclosure - Holding On.mp3,Childish Gambino - This Is America (remix).mp3,0.020997867,5.64E-05,
Travis Scott - goosebumps.m4a,Kanye West - Father Stretch My Hands Pt. 1.mp3,0.021127184,0.149980546,
Schoolboy Q - 5200.mp3,Dillon Francis - Need You.mp3,0.021228502,0.143165924,
Daft Punk - Aerodynamic.mp3,Rufus Du Sol - Underwater (Adam Port Remix).mp3,0.021343316,0.041401166,
Dillon Francis - Get Low.mp3,ODESZA - Say My Name (feat. Zyra).mp3,0.021444198,0.138717053,
Beyonce - Formation.mp3,Childish Gambino - This Is America (remix).mp3,0.02145671,0.016766968,
FISHER - You Little Beauty.mp3,A$AP Ferg - Work (DJZA Tech House Remix).wav,0.021536234,0.007640381,
"Daft Punk - Harder, Better, Faster, Stronger.mp3",Dillon Francis - Need You.mp3,0.0215598,0.102839382,
Bicep - Just.mp3,Four Tet - Baby.mp3,0.021615912,0.058865686,
Beyonce - Formation.mp3,Jack U - Mind (Malaa remix).mp3,0.021637381,0.008862101,
Skrillex - Midnight Hour.mp3,Hannah Wants  - Rhymes.mp3,0.022268877,8.73E-05,
ODESZA - Bloom (Lane 8 Remix).mp3,Justice - D.A.N.C.E.mp3,0.022603313,0.106012476,
Disclosure - Latch.mp3,Beyoncé - Drunk in Love.mp3,0.022870941,0.147918614,
