track,bpm,C,Db,D,Eb,E,F,Gb,G,Ab,A,Bb,B
Dillon Francis - Masta Blasta (THE REBIRTH).mp3,144.991,0.19859726800000002,0.030269472000000002,0.09056232300000001,0.021779253999999998,0.041466716,0.032484312,0.035314384,0.17435708100000002,0.08933185699999999,0.163775071,0.076904147,0.045158115
Backstreet Boys - Everybody (Backstreet's Back).mp3,108.021,0.051540525,0.08633444400000001,0.038696041,0.061377124000000005,0.068287131,0.126493781,0.064303715,0.052841232,0.080562556,0.08129420400000001,0.25469474,0.033574506000000004
Backstreet Boys - I Want It That Way.mp3,99.031,0.022796683999999998,0.129799302,0.043520942,0.042212042000000005,0.10013089,0.012870855,0.18160994800000002,0.014397906,0.102639616,0.166666667,0.050938045,0.132417103
Dr Dre - The Next Episode.mp3,95.295,0.050028752,0.048447384,0.06267970099999999,0.158855664,0.064836113,0.137435308,0.102070155,0.044422082,0.07964347299999999,0.05333525,0.126509488,0.07173663
ALICE DEEJAY - Better Off Alone.mp3,136.954,0.035457182999999996,0.016439238999999998,0.015364778999999999,0.10250349199999999,0.085741915,0.015902008999999998,0.146341463,0.013860535,0.166756205,0.02879553,0.09981734199999999,0.273020307
Galantis - Runaway (U&I).mp3,126.008,0.073914383,0.18735242800000002,0.016322759,0.069500051,0.026485987000000003,0.120110872,0.044656605999999995,0.048249666,0.23139308100000003,0.020531773,0.145364952,0.016117442
Gesaffelstein - Hellifornia.mp3,93.988,0.132071504,0.07802313400000001,0.026288118,0.015983176,0.010830705,0.166561514,0.07087276599999999,0.02891693,0.121030494,0.09873817,0.07223974799999999,0.17844374300000002
Kanye West - Runaway.mp3,86.986,0.009241596,0.105939209,0.011488406000000001,0.13485099,0.270549833,0.027173682999999997,0.11191657099999999,0.017635339,0.139175039,0.092500742,0.014667854,0.06486074
Linkin Park - In The End.mp3,105.14299999999999,0.055801403,0.08731786300000001,0.016297895,0.12455477599999999,0.02277388,0.23691311399999998,0.11440906599999999,0.026227739,0.09832703699999999,0.038855909,0.144630329,0.033890988
Rufus Du Sol - Brighter.mp3,117.934,0.241738268,0.023215466,0.052792465,0.07452082,0.016523463000000002,0.238764045,0.012888301000000001,0.04188698,0.113020489,0.039491077,0.123595506,0.02156312
Shiba San - Okay.mp3,123.01700000000001,0.102155938,0.018545706999999998,0.100687737,0.036086856,0.078355614,0.206243722,0.015300208999999999,0.029132215,0.044123329,0.307086006,0.039564176,0.022718492000000003
Shiba San - Show Me Show Me.mp3,122.995,0.030821223,0.031632308,0.050692802,0.10760392,0.031564718,0.088475836,0.06400811099999999,0.386819872,0.112943562,0.040081108,0.015343021,0.040013518
Zhu - Faded.mp3,124.979,0.046884768,0.034694728,0.18014169600000002,0.052823505,0.213794541,0.145238591,0.008230880999999999,0.025526151,0.014377995,0.250885601,0.0058345490000000005,0.021566993
ODESZA - Say My Name (feat. Zyra).mp3,115.04799999999999,0.034878587,0.095275938,0.06410596,0.0036203090000000004,0.093863135,0.040264901,0.09209713,0.064635762,0.073465784,0.30013245,0.022693157000000002,0.11496688699999999
ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,119.99600000000001,0.162259361,0.014491221,0.259255342,0.022953247000000003,0.034694309,0.133382695,0.021155067000000003,0.043896763,0.014491221,0.211867992,0.075417813,0.0061349690000000005
Childish Gambino - This Is America (remix).mp3,124.01100000000001,0.150611209,0.026831706,0.037364496000000004,0.049588683,0.050511263,0.309218113,0.062812332,0.06181287,0.068885984,0.135004228,0.024679019,0.022680095
Dog Blood - TURN OFF THE LIGHTS.mp3,128.02700000000002,0.059510734,0.024463305,0.061208188,0.06849725400000001,0.096854718,0.062805791,0.034148777000000005,0.075187219,0.140688967,0.15257114300000002,0.0890664,0.134997504
Jamie xx - SeeSaw (Club Version).mp3,125.012,0.14261192,0.003021148,0.048063719000000005,0.015311728,0.278700906,0.037558363,0.007690195,0.124759681,0.01510574,0.23853337,0.005973634,0.082669596
Tchami - Missing You.mp3,126.99600000000001,0.08815039599999999,0.076678262,0.147213382,0.044112205,0.028791355,0.07371771099999999,0.049663237,0.09392347,0.073273629,0.144104803,0.120790467,0.059581082
Jack U - Mind (Malaa remix).mp3,123.046875,0.097772775,0.08112889,0.039478974,0.058695827,0.054997185999999997,0.23301439300000001,0.039076948,0.015679022,0.029428318999999998,0.104044384,0.181394227,0.065289057
Travis Scott - goosebumps.m4a,130.049,0.073509808,0.02237669,0.04446772,0.039706723,0.145305656,0.034850505,0.047419539000000004,0.13483146099999999,0.072081508,0.19691487300000002,0.04618168,0.14235383699999998
Dillon Francis - Need You.mp3,111.961,0.051833568,0.047954866,0.076046074,0.038669487999999995,0.128702398,0.08556652599999999,0.177480019,0.10719323,0.059120827,0.064880113,0.039139633,0.12341325800000001
The Killers - Mr. Brightside.mp3,148.0,0.084561514,0.327061775,0.013274798999999999,0.070973137,0.010975226999999999,0.12459496199999999,0.075885858,0.03376189,0.15020382599999998,0.012125013,0.078708059,0.017873942
Coeus - Rebirth.wav,123.002,0.05427655195520031,0.005169195424304791,0.33762504188005554,0.18838845546355237,0.07772938304695352,0.11185564543148423,0.001435887617862442,0.0380031589527593,0.019671660364715456,0.1371272675058632,0.01718278849375389,0.01153496386349495
Mathame - Magia.wav,126.001,0.08546211697433029,0.024364472621045435,0.012430853378084406,0.023494312884579528,0.005531729753247561,0.5255764808254086,0.012244390577413139,0.050158493380570573,0.16470880725961837,0.03250668158369072,0.060538255951271054,0.0029834048107402573
